Episode,Agent Ep NAV,Market Ep NAV,Agent CumSum NAV,Market CumSum NAV,Difference,Strategy Wins (%)
1,-0.1997476180470792,0.13356223256155597,-0.1997476180470792,0.13356223256155597,-0.33330985060863516,
2,-0.07315245640556323,0.06865681101924814,-0.2729000744526424,0.20221904358080411,-0.14180926742481137,
3,-0.3387694403037048,0.11755175655501182,-0.6116695147563472,0.31977080013581594,-0.45632119685871664,
4,-0.3592396880016162,0.1920838279955397,-0.9709092027579634,0.5118546281313556,-0.5513235159971559,
5,-0.27086905913688303,0.114354387637427,-1.2417782618948465,0.6262090157687826,-0.38522344677431003,
6,-0.6339276133533994,-0.45156057120723614,-1.8757058752482458,0.1746484445615465,-0.18236704214616328,
7,-0.006665793842819992,-0.06107950911502824,-1.882371669091066,0.11356893544651825,0.05441371527220825,
8,-0.3529338254793783,0.2126113202435711,-2.235305494570444,0.32618025569008935,-0.5655451457229494,
9,-0.214728599853017,-0.044071287887044064,-2.450034094423461,0.2821089678030453,-0.17065731196597295,
10,-0.3679939389574861,0.014406376664259701,-2.8180280333809473,0.296515344467305,-0.3824003156217458,
11,-0.2216567237548147,0.08965354325164532,-3.039684757135762,0.3861688877189503,-0.31131026700646003,
12,-0.26220892640265214,0.14271982892159185,-3.301893683538414,0.5288887166405422,-0.404928755324244,
13,-0.12195919274027904,0.09399901568062752,-3.4238528762786933,0.6228877323211697,-0.21595820842090657,
14,-0.20627414996947802,0.1733947069017765,-3.6301270262481715,0.7962824392229462,-0.3796688568712545,
15,-0.16740566966076714,0.14968670636036308,-3.797532695908939,0.9459691455833092,-0.3170923760211302,
16,-0.2524673014428971,0.11513327022552367,-4.049999997351836,1.061102415808833,-0.36760057166842075,
17,-0.19737994208642423,0.026703515747125706,-4.247379939438261,1.0878059315559585,-0.22408345783354994,
18,-0.11874770585633067,0.12869452921427005,-4.366127645294592,1.2165004607702286,-0.2474422350706007,
19,-0.32954211441273634,0.0770757978792086,-4.695669759707328,1.2935762586494373,-0.40661791229194494,
20,-0.33536598708100146,0.044627131668551034,-5.031035746788329,1.3382033903179882,-0.3799931187495525,
21,-0.3595244532957912,-0.05380620658356661,-5.390560200084121,1.2843971837344217,-0.3057182467122246,
22,-0.33305834434524706,0.14109116568220192,-5.7236185444293675,1.4254883494166237,-0.474149510027449,
23,-0.21346693227513164,0.18774704494604488,-5.937085476704499,1.6132353943626687,-0.4012139772211765,
24,-0.21476461976322936,0.16060962608560247,-6.151850096467728,1.7738450204482712,-0.37537424584883183,
