Episode,Agent Ep NAV,Market Ep NAV,Agent CumSum NAV,Market CumSum NAV,Difference,Strategy Wins (%)
1,0.03897499915923197,0.16197200410261758,0.03897499915923197,0.16197200410261758,-0.12299700494338561,
2,0.30208237008194816,-0.5283299760487107,0.34105736924118013,-0.3663579719460931,0.8304123461306588,
3,-0.0177226326157236,0.08064611894465146,0.32333473662545653,-0.28571185300144164,-0.09836875156037506,
4,-0.08281639988637579,0.19741428178665288,0.24051833673908074,-0.08829757121478876,-0.28023068167302867,
5,-0.0021728576099854235,0.11170620984848723,0.23834547912909532,0.023408638633698464,-0.11387906745847265,
6,0.10959877010610519,0.03207771897608169,0.3479442492352005,0.05548635760978016,0.0775210511300235,
7,-0.07404294471313977,0.12881522241019472,0.27390130452206074,0.18430158001997488,-0.2028581671233345,
8,-0.0019609798779509635,0.1374457133733823,0.2719403246441098,0.32174729339335717,-0.13940669325133326,
9,0.06033652541401113,0.1428270557320458,0.3322768500581209,0.46457434912540296,-0.08249053031803466,
10,0.01313929872649311,0.16695813351344646,0.345416148784614,0.6315324826388494,-0.15381883478695335,
11,-0.021799626433545938,0.11434476406231098,0.3236165223510681,0.7458772467011604,-0.13614439049585692,
12,-0.09263652308591475,0.4945044859958132,0.23097999926515334,1.2403817326969735,-0.587141009081728,
13,0.3773738639167735,-0.4073037025838304,0.6083538631819269,0.8330780301131431,0.7846775665006039,
14,0.149198359431579,-0.04534981538360772,0.7575522226135059,0.7877282147295354,0.19454817481518671,
15,-0.01720118669088644,0.12406799643818678,0.7403510359226194,0.9117962111677221,-0.14126918312907322,
16,0.08530412357349615,0.10928225487507959,0.8256551594961156,1.0210784660428018,-0.02397813130158344,
17,0.08103346874090211,0.0739537894905955,0.9066886282370177,1.0950322555333973,0.007079679250306614,
18,-0.07374994994072137,0.12203594458000089,0.8329386782962963,1.2170682001133981,-0.19578589452072226,
19,0.23353762861046867,0.2752951684813554,1.066476306906765,1.4923633685947535,-0.041757539870886706,
20,-0.1755211429879333,0.11270040972683737,0.8909551639188318,1.6050637783215909,-0.2882215527147707,
21,0.16267142582621663,0.028504144582448765,1.0536265897450483,1.6335679229040396,0.13416728124376787,
22,-0.24464404266694417,0.07697975072676311,0.8089825470781041,1.7105476736308027,-0.3216237933937073,
23,-0.08597920542995652,0.07806327927322065,0.7230033416481476,1.7886109529040235,-0.16404248470317717,
24,0.08620066552401706,0.25931597649623184,0.8092040071721647,2.0479269294002553,-0.17311531097221478,
25,0.2046528209483668,0.12320621228941775,1.0138568281205314,2.171133141689673,0.08144660865894904,
26,-0.013335189592939334,-0.170650852916034,1.0005216385275921,2.000482288773639,0.15731566332309466,
27,0.19989651139027476,0.044529485620963816,1.200418149917867,2.045011774394603,0.15536702576931094,
28,0.21833444026522897,-0.16351011094207302,1.418752590183096,1.88150166345253,0.381844551207302,
29,0.08102311036775878,0.14793176937337071,1.4997757005508547,2.0294334328259005,-0.06690865900561194,
30,0.17737743737800415,0.14195156198340142,1.677153137928859,2.171384994809302,0.035425875394602735,
31,-0.30084138882754785,0.09225693124411471,1.376311749101311,2.2636419260534164,-0.39309832007166257,
32,-0.18086488264580525,-0.11603332210304595,1.1954468664555058,2.1476086039503706,-0.06483156054275929,
33,-0.2247070171425436,0.02400094451236867,0.9707398493129622,2.1716095484627393,-0.24870796165491227,
34,0.24297111606250454,0.27748988962556986,1.2137109653754667,2.449099438088309,-0.03451877356306532,
35,0.08893955660190234,0.1803412836863345,1.3026505219773692,2.6294407217746434,-0.09140172708443217,
36,-0.00010934126919193154,0.03934107647025864,1.3025411807081773,2.6687817982449022,-0.03945041773945057,
37,-0.04276568250110446,0.17537033868018637,1.2597754982070728,2.8441521369250884,-0.21813602118129083,
38,-0.05354197458255128,0.07289945286961375,1.2062335236245216,2.9170515897947022,-0.12644142745216502,
39,-0.18928077088049045,0.029210477566632975,1.0169527527440312,2.946262067361335,-0.21849124844712342,
40,-0.17068685060147193,0.04696369744407414,0.8462659021425593,2.993225764805409,-0.21765054804554607,
41,-0.046412448534104644,0.11546641086276554,0.7998534536084546,3.1086921756681747,-0.1618788593968702,
