Episode,Agent Ep NAV,Market Ep NAV,Agent CumSum NAV,Market CumSum NAV,Difference,Strategy Wins (%)
1,0.006842705642777076,0.022187837227225282,0.006842705642777076,0.022187837227225282,-0.015345131584448207,
2,0.2814959513139635,0.10842310361883001,0.28833865695674055,0.1306109408460553,0.17307284769513348,
3,0.19308226261185377,0.15239262259002517,0.48142091956859434,0.28300356343608046,0.040689640021828594,
4,0.01479369712440826,0.1325709742858573,0.4962146166930026,0.41557453772193775,-0.11777727716144903,
5,-0.06530213237463968,0.1712739837207542,0.43091248431836293,0.586848521442692,-0.23657611609539386,
6,-0.29242815563826524,0.06283703707342381,0.1384843286800977,0.6496855585161158,-0.35526519271168905,
7,-0.01836684060563647,0.13223683329641078,0.12011748807446122,0.7819223918125265,-0.15060367390204726,
8,0.1432263088119857,-0.10218491351287251,0.26334379688644693,0.679737478299654,0.2454112223248582,
9,0.18038049120791882,0.20279736556341188,0.44372428809436576,0.8825348438630659,-0.022416874355493055,
10,0.006083416117930226,0.12052559893119186,0.449807704212296,1.0030604427942578,-0.11444218281326163,
11,-0.130312583111616,0.14426669021660055,0.31949512110068,1.1473271330108583,-0.2745792733282165,
12,0.10535682237243914,0.03400097902690158,0.42485194347311916,1.18132811203776,0.07135584334553756,
13,0.17620258395221655,-0.12943094412980505,0.6010545274253357,1.051897167907955,0.3056335280820216,
14,0.00864445327809816,0.1698661476394605,0.6096989807034339,1.2217633155474155,-0.16122169436136236,
15,-0.06747923533482761,0.1375718657577215,0.5422197453686063,1.3593351813051369,-0.20505110109254912,
16,0.1136175391208068,0.11321748519546093,0.6558372844894131,1.4725526665005977,0.0004000539253458668,
17,-0.11942807355558607,0.17634955833735932,0.5364092109338271,1.648902224837957,-0.29577763189294537,
18,-0.2439804710582571,-0.05852741672287454,0.29242873987557,1.5903748081150826,-0.18545305433538256,
19,-0.031233794788221185,0.1274969605189359,0.2611949450873488,1.7178717686340184,-0.15873075530715708,
20,-0.023034925825338247,0.14068770397921526,0.23816001926201055,1.8585594726132335,-0.16372262980455352,
21,0.10643327459287293,0.1257001480473947,0.34459329385488346,1.9842596206606282,-0.019266873454521785,
22,-0.15978607809174916,0.1583662130118847,0.1848072157631343,2.142625833672513,-0.31815229110363386,
23,-0.06599830855960089,0.021892763266160076,0.11880890720353342,2.164518596938673,-0.08789107182576096,
24,-0.039048112979596594,0.1107744338501564,0.07976079422393682,2.2752930307888293,-0.149822546829753,
25,0.042434344207700155,-0.08897279879312048,0.12219513843163698,2.1863202319957087,0.13140714300082063,
26,0.000851985330085122,0.17955715420725382,0.12304712376172211,2.3658773862029623,-0.1787051688771687,
27,0.06414143237080529,0.16816142306043547,0.18718855613252738,2.534038809263398,-0.10401999068963018,
28,0.013426364148415595,0.1312325541161341,0.20061492028094297,2.665271363379532,-0.11780618996771851,
29,-0.26461916510746386,0.4078631941624521,-0.0640042448265209,3.073134557541984,-0.672482359269916,
30,-0.042346427167278676,-0.0472845416327391,-0.10635067199379958,3.025850015909245,0.004938114465460421,
31,-0.2979906406705168,-0.30429090784816604,-0.4043413126643164,2.7215591080610793,0.006300267177649255,
32,0.29211095822159583,0.22573751974254153,-0.11223035444272056,2.947296627803621,0.0663734384790543,
33,-0.1904778230200408,-0.12386839054155485,-0.30270817746276135,2.823428237262066,-0.06660943247848594,
34,0.12530638888657225,0.022187837227225282,-0.1774017885761891,2.845616074489291,0.10311855165934697,
35,0.10700629770771015,0.05360133705673309,-0.07039549086847895,2.899217411546024,0.053404960650977065,
36,0.22806272000133823,0.06193745184323962,0.1576672291328593,2.9611548633892637,0.1661252681580986,
37,0.03173390374743382,0.19552108839986548,0.18940113288029312,3.156675951789129,-0.16378718465243167,
38,0.0369089149656262,0.20556545977989105,0.22631004784591932,3.3622414115690202,-0.16865654481426484,
39,0.16325543467297396,0.161542678969694,0.3895654825188933,3.5237840905387143,0.0017127557032799723,
40,0.003133075849908766,0.10714850020782296,0.392698558368802,3.6309325907465375,-0.1040154243579142,
41,0.06634217329328433,0.07756588975967693,0.45904073166208637,3.7084984805062144,-0.0112237164663926,
42,0.3631497980259276,-0.12664676924760243,0.822190529688014,3.581851711258612,0.48979656727353005,
43,0.07559020137573703,0.11737808761484492,0.897780731063751,3.699229798873457,-0.04178788623910788,
44,-0.04955901127202758,-0.06668500315508452,0.8482217197917234,3.6325447957183723,0.01712599188305694,
45,0.010130468451216425,0.22064939925196492,0.8583521882429399,3.853194194970337,-0.2105189308007485,
46,0.10971958357568166,0.12338148720000097,0.9680717718186216,3.976575682170338,-0.013661903624319308,
47,-0.004739128675815715,0.04497996631693524,0.9633326431428059,4.021555648487273,-0.049719094992750956,
48,-0.24421766033125658,-0.071052708232757,0.7191149828115493,3.950502940254516,-0.17316495209849958,
49,-0.010959292139172495,0.14712552066106677,0.7081556906723768,4.097628460915583,-0.15808481280023925,
50,-0.028498069963552336,0.298641949567374,0.6796576207088245,4.396270410482957,-0.3271400195309263,
51,-0.06808950117154702,0.11719296456571027,0.6115681195372775,4.5134633750486675,-0.1852824657372573,
52,0.6317451327383052,0.3049451879232926,1.2433132522755828,4.81840856297196,0.3267999448150126,
53,0.13662688909817708,0.10326536722998747,1.3799401413737598,4.921673930201948,0.03336152186818961,
54,0.1295267038958432,0.029057912287284715,1.509466845269603,4.950731842489232,0.10046879160855848,
55,0.43611549135399463,0.2837209733907945,1.9455823366235976,5.234452815880027,0.15239451796320014,
56,0.007370567830649478,0.09991393091723,1.952952904454247,5.334366746797257,-0.09254336308658052,
57,0.007047283084640109,0.18945739318725707,1.9600001875388873,5.523824139984514,-0.18241011010261696,
58,0.030367135120222658,0.06274546431827865,1.9903673226591099,5.586569604302793,-0.032378329198056,
59,0.009608221177451057,0.15321655719297878,1.999975543836561,5.739786161495771,-0.14360833601552772,
60,0.30760633666719267,-0.014282776601026947,2.307581880503754,5.725503384894744,0.3218891132682196,
61,0.5209316085326986,-0.357044925112861,2.8285134890364523,5.368458459781883,0.8779765336455596,
62,0.07411944146449628,0.23560114958417255,2.9026329305009484,5.604059609366056,-0.16148170811967627,
63,0.1433165325429449,0.029333580975940965,3.0459494630438932,5.633393190341996,0.11398295156700394,
64,0.06893608700208831,0.21992301826214622,3.1148855500459813,5.853316208604142,-0.1509869312600579,
65,0.023555155209936736,0.08334822454871749,3.1384407052559182,5.93666443315286,-0.05979306933878075,
66,-0.18756031275889937,0.21651829796874145,2.950880392497019,6.153182731121602,-0.40407861072764084,
67,0.13614546122704194,0.1307145402826293,3.087025853724061,6.283897271404231,0.005430920944412637,
68,-0.23575632518079082,-0.19456351636833324,2.85126952854327,6.089333755035898,-0.04119280881245757,
69,0.04808098675807539,0.2034321493202701,2.8993505153013452,6.292765904356168,-0.1553511625621947,
70,-0.007371364986985015,0.14382541248498104,2.89197915031436,6.436591316841149,-0.15119677747196605,
71,0.16182812724917087,0.003547883099843996,3.053807277563531,6.440139199940993,0.15828024414932687,
72,0.43509790602302023,-0.3472780193785051,3.488905183586551,6.092861180562488,0.7823759254015253,
73,0.04149777550903451,-0.3650756730989988,3.5304029590955857,5.727785507463489,0.4065734486080333,
74,0.24451119444577574,-0.04798945522344589,3.7749141535413613,5.679796052240043,0.2925006496692216,
75,0.0038007192164640083,0.156704498942849,3.7787148727578255,5.836500551182892,-0.15290377972638497,
76,-0.04179707408996945,0.12461255503937807,3.736917798667856,5.96111310622227,-0.16640962912934754,
77,0.2779668781599933,-0.055303224646710225,4.014884676827849,5.90580988157556,0.33327010280670355,
78,0.1541998993680207,0.17156645154196426,4.1690845761958695,6.077376333117524,-0.01736655217394356,
79,0.0033746553414571324,0.25165966568822373,4.172459231537327,6.329035998805748,-0.2482850103467666,
80,0.14031938170096742,0.035832680900470315,4.312778613238295,6.364868679706218,0.1044867008004971,
81,-0.00591954964116973,-0.022119737385873806,4.306859063597125,6.342748942320344,0.016200187744704074,
82,0.43586871204276906,-0.39533189822159676,4.742727775639894,5.9474170440987475,0.8312006102643659,
83,-0.046441597495078195,0.18122963719108598,4.696286178144816,6.128646681289833,-0.22767123468616418,
84,0.05161873376730908,0.21198230740719315,4.747904911912125,6.340628988697026,-0.16036357363988407,
85,0.0015565069712475217,0.23493910689620012,4.749461418883372,6.575568095593226,-0.2333825999249526,
86,0.29615375667077604,-0.35135075410327354,5.045615175554148,6.224217341489953,0.6475045107740496,
87,0.13090325779800482,0.04160955784424292,5.176518433352153,6.265826899334196,0.08929369995376191,
88,0.16954016550737985,0.15902386359900922,5.346058598859533,6.424850762933206,0.010516301908370634,
