date,ticker,close,low,high
06.Feb.17,RUS,135.84,135.43,136.78
03.Feb.17,RUS,136.87,135.51,136.98
02.Feb.17,RUS,134.81,134.49,135.67
01.Feb.17,RUS,135.15,134.7,136.87
31.Jan.17,RUS,135.23,133.48,135.56
30.Jan.17,RUS,134.29,133.24,135.24
27.Jan.17,RUS,136.19,135.65,137.04
26.Jan.17,RUS,136.66,136.42,137.5
25.Jan.17,RUS,137.21,136.95,137.55
24.Jan.17,RUS,135.93,134.22,136.28
23.Jan.17,RUS,133.88,133.12,134.68
20.Jan.17,RUS,134.44,133.82,134.88
19.Jan.17,RUS,133.75,133.17,135.44
18.Jan.17,RUS,134.85,133.95,134.94
17.Jan.17,RUS,134.41,134.13,135.69
13.Jan.17,RUS,136.26,135.65,136.97
12.Jan.17,RUS,135.28,133.59,136.22
11.Jan.17,RUS,136.33,135.42,136.79
10.Jan.17,RUS,136.09,134.76,136.38
09.Jan.17,RUS,134.8,134.5,135.72
06.Jan.17,RUS,135.69,135.68,136.71
05.Jan.17,RUS,136.19,135.51,137.76
04.Jan.17,RUS,137.78,136.01,137.96
03.Jan.17,RUS,135.52,134.5,136.83
30.Dec.16,RUS,134.85,134.4,135.63
29.Dec.16,RUS,135.37,134.69,136.26
28.Dec.16,RUS,135.25,134.83,136.98
27.Dec.16,RUS,136.65,136.21,137.3
23.Dec.16,RUS,136.04,135.27,136.12
22.Dec.16,RUS,135.32,134.81,136.75
21.Dec.16,RUS,137.06,137.01,138.15
20.Dec.16,RUS,137.96,136.99,138.21
19.Dec.16,RUS,136.8,135.91,137.19
16.Dec.16,RUS,135.91,135.63,137.53
15.Dec.16,RUS,136.16,134.96,137.14
14.Dec.16,RUS,135.15,134.81,137.35
13.Dec.16,RUS,136.86,136.24,138.05
12.Dec.16,RUS,136.85,136.51,138.57
09.Dec.16,RUS,138.31,137.75,138.82
08.Dec.16,RUS,138.04,135.8,138.21
07.Dec.16,RUS,135.9,134.18,136.18
06.Dec.16,RUS,134.59,132.74,134.91
05.Dec.16,RUS,133.15,131.89,133.33
02.Dec.16,RUS,130.9,130.52,131.47
01.Dec.16,RUS,130.97,130.29,132.55
30.Nov.16,RUS,131.61,131.5,133.09
29.Nov.16,RUS,132.26,132.1,133.09
28.Nov.16,RUS,132.33,132.15,134
25.Nov.16,RUS,134.07,133.54,134.1
23.Nov.16,RUS,133.63,132.1,133.65
22.Nov.16,RUS,132.8,131.67,132.9
21.Nov.16,RUS,131.6,130.61,132
18.Nov.16,RUS,130.99,130.3,131.09
17.Nov.16,RUS,130.3,129.75,130.83
16.Nov.16,RUS,129.54,129.03,130
15.Nov.16,RUS,129.55,128.3,129.89
14.Nov.16,RUS,129.15,128.39,130.26
11.Nov.16,RUS,127.36,124.55,127.72
10.Nov.16,RUS,124.5,122.62,125.4
09.Nov.16,RUS,122.54,118.05,122.83
08.Nov.16,RUS,118.88,117.71,119.46
07.Nov.16,RUS,118.57,117.71,118.82
04.Nov.16,RUS,115.74,115.05,116.9
03.Nov.16,RUS,115,114.88,116.24
02.Nov.16,RUS,115.56,115.39,117
01.Nov.16,RUS,117.05,116.28,118.7
31.Oct.16,RUS,118.5,117.8,118.64
28.Oct.16,RUS,118.03,117.75,119.03
27.Oct.16,RUS,118.36,118.09,120.14
26.Oct.16,RUS,119.73,119.46,121
25.Oct.16,RUS,120.93,120.6,121.99
24.Oct.16,RUS,121.84,121.45,122.61
21.Oct.16,RUS,121.07,120.1,121.37
20.Oct.16,RUS,121.13,120.41,122
