date,ticker,close,low,high
02.Dec.21,GOLD,1760.7,1760.6,1780.9
01.Dec.21,GOLD,1781.6,1772.3,1790.5
30.Nov.21,GOLD,1773.6,1768.7,1808.1
29.Nov.21,GOLD,1782.3,1779.1,1798.9
26.Nov.21,GOLD,1785.3,1791.1,1791.4
24.Nov.21,GOLD,1784.1,1781.4,1793
23.Nov.21,GOLD,1783.5,1786,1795.5
22.Nov.21,GOLD,1806,1805.7,1841.6
19.Nov.21,GOLD,1851.2,,
18.Nov.21,GOLD,1861,,
17.Nov.21,GOLD,1869.7,1862.6,1866.6
16.Nov.21,GOLD,1853.6,,
15.Nov.21,GOLD,1866.1,1864.5,1866.9
12.Nov.21,GOLD,1867.9,1847.6,1867.8
11.Nov.21,GOLD,1863.2,1853.9,1866.5
10.Nov.21,GOLD,1847.6,1824.9,1865
09.Nov.21,GOLD,1830.2,1820.7,1832.7
08.Nov.21,GOLD,1827.4,1816.9,1826.9
05.Nov.21,GOLD,1816.4,1794.9,1817.1
04.Nov.21,GOLD,1793,1776.2,1798.2
03.Nov.21,GOLD,1763.6,1761.8,1768
02.Nov.21,GOLD,1788.7,1787.7,1795.5
01.Nov.21,GOLD,1795.1,1786.7,1795
29.Oct.21,GOLD,1783,1774.6,1797
28.Oct.21,GOLD,1801.6,1795.5,1807.3
27.Oct.21,GOLD,1797.9,1791.5,1795
26.Oct.21,GOLD,1792.7,1788.6,1808.8
25.Oct.21,GOLD,1806,1794,1809
22.Oct.21,GOLD,1795.5,1784,1806.9
21.Oct.21,GOLD,1781.2,1781,1785.7
20.Oct.21,GOLD,1784.1,1774,1785.6
19.Oct.21,GOLD,1769.7,1767.5,1785
18.Oct.21,GOLD,1764.8,1759.5,1770.1
15.Oct.21,GOLD,1767.2,1766.6,1795.4
14.Oct.21,GOLD,1796.7,1792,1799.9
13.Oct.21,GOLD,1793.7,1760.8,1794.5
12.Oct.21,GOLD,1758.3,1749.8,1768
11.Oct.21,GOLD,1754.6,1752.2,1757.8
08.Oct.21,GOLD,1756.3,1754.2,1780
07.Oct.21,GOLD,1757.9,1752.8,1762.4
06.Oct.21,GOLD,1760.5,1744.7,1762.9
05.Oct.21,GOLD,1759.6,1749,1764.3
04.Oct.21,GOLD,1766.2,1749.5,1768.9
01.Oct.21,GOLD,1757,1748.5,1762.6
30.Sep.21,GOLD,1755.3,1724.5,1760.3
29.Sep.21,GOLD,1721.5,1721.4,1744.1
28.Sep.21,GOLD,1735.8,1726.8,1741.7
27.Sep.21,GOLD,1750,1747.5,1754.4
24.Sep.21,GOLD,1749.7,1745,1745
23.Sep.21,GOLD,1747.7,1738.2,1766.8
22.Sep.21,GOLD,1776.7,1767,1784.3
21.Sep.21,GOLD,1776,1759,1770.5
20.Sep.21,GOLD,1761.8,1750.9,1761.1
17.Sep.21,GOLD,1749.4,1750,1763
16.Sep.21,GOLD,1754.6,1743.9,1792.9
15.Sep.21,GOLD,1792.4,1792.4,1803.7
14.Sep.21,GOLD,1804.7,1783,1806.2
13.Sep.21,GOLD,1792,1784,1796
10.Sep.21,GOLD,1789.6,,
09.Sep.21,GOLD,1797.4,1787.9,1798.7
08.Sep.21,GOLD,1790.7,1781.7,1788.4
07.Sep.21,GOLD,1795.9,1792.7,1825.7
03.Sep.21,GOLD,1830.9,1818.9,1833.9
02.Sep.21,GOLD,1808.7,1806.8,1813.9
01.Sep.21,GOLD,1813.1,1809.5,1815.9
31.Aug.21,GOLD,1815,1801.1,1815.9
30.Aug.21,GOLD,1809,1807.8,1820.3
27.Aug.21,GOLD,1816.6,1803.1,1803.5
26.Aug.21,GOLD,1792.2,1781,1790.8
25.Aug.21,GOLD,1788.2,1784,1792.9
24.Aug.21,GOLD,1805.6,1801,1805.2
23.Aug.21,GOLD,1803.2,1776.8,1804.8
20.Aug.21,GOLD,1781,1778.2,1787.5
