date,ticker,close,low,high
12.Nov.21,WTI,80.79,79.78,81.62
11.Nov.21,WTI,81.59,80.20,82.33
10.Nov.21,WTI,81.34,80.81,84.97
09.Nov.21,WTI,84.15,81.78,84.63
08.Nov.21,WTI,81.93,81.05,82.67
05.Nov.21,WTI,81.27,78.96,81.80
04.Nov.21,WTI,78.81,78.25,83.42
03.Nov.21,WTI,80.86,79.69,83.08
02.Nov.21,WTI,83.91,82.92,84.41
01.Nov.21,WTI,84.05,82.74,84.88
29.Oct.21,WTI,83.57,81.41,83.74
28.Oct.21,WTI,82.81,80.58,83.21
27.Oct.21,WTI,82.66,82.01,84.51
26.Oct.21,WTI,84.65,82.97,84.88
25.Oct.21,WTI,83.76,83.39,85.41
22.Oct.21,WTI,83.76,81.76,84.22
21.Oct.21,WTI,82.50,80.79,83.96
20.Oct.21,WTI,83.87,81.30,84.25
19.Oct.21,WTI,82.96,81.80,83.74
18.Oct.21,WTI,82.44,81.84,83.87
15.Oct.21,WTI,82.28,81.39,82.66
14.Oct.21,WTI,81.31,80.38,81.68
13.Oct.21,WTI,80.44,79.42,81.04
12.Oct.21,WTI,80.64,79.47,81.62
11.Oct.21,WTI,80.52,79.55,82.18
08.Oct.21,WTI,79.35,78.63,80.11
07.Oct.21,WTI,78.30,74.96,78.89
06.Oct.21,WTI,77.43,76.83,79.78
05.Oct.21,WTI,78.93,77.47,79.48
04.Oct.21,WTI,77.62,75.32,78.38
01.Oct.21,WTI,75.88,74.23,75.99
30.Sep.21,WTI,75.03,73.14,76.07
29.Sep.21,WTI,74.83,73.74,75.79
28.Sep.21,WTI,75.29,74.24,76.67
27.Sep.21,WTI,75.45,74.16,75.75
24.Sep.21,WTI,73.98,72.81,74.27
23.Sep.21,WTI,73.30,71.61,73.50
22.Sep.21,WTI,72.23,70.64,72.30
21.Sep.21,WTI,70.56,69.67,71.63
20.Sep.21,WTI,70.29,69.86,72.08
17.Sep.21,WTI,71.97,71.21,72.72
16.Sep.21,WTI,72.61,71.53,72.99
15.Sep.21,WTI,72.61,70.65,73.14
14.Sep.21,WTI,70.46,69.98,71.22
13.Sep.21,WTI,70.45,69.51,70.97
10.Sep.21,WTI,69.72,67.68,69.96
09.Sep.21,WTI,68.14,67.56,69.89
08.Sep.21,WTI,69.30,68.31,69.75
07.Sep.21,WTI,68.35,67.64,69.48
03.Sep.21,WTI,69.29,69.05,70.53
